count,fraction,lower_deg_inclusive,mode,n,record_type,scenario,scope,threshold_deg,upper_deg_exclusive
113,0.8071428571428572,,all_groundtruth_centers,140,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,20,
134,0.9571428571428572,,all_groundtruth_centers,140,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,30,
138,0.9857142857142858,,all_groundtruth_centers,140,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,45,
139,0.9928571428571429,,all_groundtruth_centers,140,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,60,
140,1.0,,all_groundtruth_centers,140,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,90,
28,0.23140495867768596,0.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,5.0
39,0.32231404958677684,5.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,10.0
22,0.18181818181818182,10.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,15.0
12,0.09917355371900827,15.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,20.0
16,0.1322314049586777,20.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,30.0
2,0.01652892561983471,30.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,45.0
0,0.0,45.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,60.0
0,0.0,60.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,75.0
2,0.01652892561983471,75.0,matched_groundtruth_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,90.000001
28,0.23140495867768596,,matched_groundtruth_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,5,
67,0.5537190082644629,,matched_groundtruth_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,10,
89,0.7355371900826446,,matched_groundtruth_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,15,
101,0.8347107438016529,,matched_groundtruth_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,20,
117,0.9669421487603306,,matched_groundtruth_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,30,
119,0.9834710743801653,,matched_groundtruth_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,45,
119,0.9834710743801653,,matched_groundtruth_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,60,
121,1.0,,matched_groundtruth_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,90,
31,0.256198347107438,0.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,5.0
32,0.2644628099173554,5.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,10.0
15,0.12396694214876033,10.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,15.0
14,0.11570247933884298,15.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,20.0
5,0.04132231404958678,20.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,30.0
7,0.05785123966942149,30.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,45.0
4,0.03305785123966942,45.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,60.0
4,0.03305785123966942,60.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,75.0
9,0.0743801652892562,75.0,predicted_centers,121,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,90.000001
31,0.256198347107438,,predicted_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,5,
63,0.5206611570247934,,predicted_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,10,
78,0.6446280991735537,,predicted_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,15,
92,0.7603305785123967,,predicted_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,20,
97,0.8016528925619835,,predicted_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,30,
104,0.859504132231405,,predicted_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,45,
108,0.8925619834710744,,predicted_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,60,
121,1.0,,predicted_centers,121,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,90,
