annotation_lookup_t,annotation_lookup_x,annotation_lookup_y,annotation_lookup_z,approximate_center_error_voxels,approximate_length_error_voxels,approximate_quaternion_error_deg,center_t,center_x,center_y,center_z,dataset,evaluated,exact_center_error_voxels,index,metric_basis,mode,nematic_axis_error_deg,predicted_decode_center_distance,predicted_decode_quality_ratio,predicted_length_npz,predicted_raster_span,skip_reason,truth_center_x,truth_center_y,truth_center_z,truth_decode_center_distance,truth_decode_quality_ratio,truth_length_from_label_centroids,truth_raster_span,truth_rendered_time_offset
,,,,0.8660254037844386,15.176211958071889,40.60730306494055,12.0,719.0,713.0,4.0,neural_tube_membrane,True,,59,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,24.945291710259852,0.8381527307120106,244.73338405711024,19.05605125427246,18.36198398481745,,,,,0.8179128813519115,977.7588590222699,,34.23226321234435,0
,,,,0.5,13.591841415240381,13.620344765507996,12.0,933.0,279.0,4.0,neural_tube_membrane,True,,60,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,6.696857017621792,0.8660254037844386,283.6613735676384,18.928077697753906,18.57150810240229,,,,,0.7071067811865476,1071.7756508593934,,32.51991911299429,0
,,,,0.7071067811865476,19.742555307514174,73.267089847222,13.0,316.0,519.0,4.0,neural_tube_membrane,True,,61,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,74.47301984498249,0.7872880573253355,154.00806714169585,19.255475997924805,18.81318463648023,,,,,1.6266904695290054,1172.9052357584708,,38.99803130543898,0
,,,,0.5,12.250545609699,120.33908019687799,13.0,426.0,649.0,4.0,neural_tube_membrane,True,,62,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,37.7654796025927,0.8660254037844386,280.9595860186165,19.145273208618164,19.84329224072723,,,,,0.7071067811865476,981.8966818948194,,31.395818818317164,0
,,,,1.0,17.338115645174497,47.59985890809223,13.0,440.0,295.0,4.0,neural_tube_membrane,True,,63,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,40.61008091954234,0.8660254037844386,306.70210438890945,18.924272537231445,19.048082355097527,,,,,1.6583123951777,1168.9965601263186,,36.26238818240594,0
,,,,0.5,10.05276026366375,34.67276974913584,13.0,651.0,390.0,4.0,neural_tube_membrane,True,,64,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,57.28636918096971,0.8660254037844386,333.7927514397103,19.77950096130371,20.248915651525994,,,,,0.7071067811865476,849.0577745714282,,29.83226122496746,0
,,,,0.7071067811865476,11.595967026996082,28.934662135652985,13.0,673.0,106.0,4.0,neural_tube_membrane,True,,65,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,45.6897165382347,0.8660254037844386,311.22603163535746,19.20907211303711,19.441211332015307,,,,,0.6866245605840431,797.2165939879333,,30.80503914003319,0
,,,,0.7071067811865476,16.17904828774717,40.544803335518644,14.0,61.0,137.0,4.0,neural_tube_membrane,True,,66,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,12.80920406766613,0.8660254037844386,291.7721249151264,18.476369857788086,18.812975335625207,,,,,1.2136695708307512,1258.8962714680117,,34.65541814553526,0
,,,,1.118033988749895,16.1623639924034,19.9047340757776,14.0,386.0,264.0,4.0,neural_tube_membrane,True,,67,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,10.371183988756473,0.8660254037844386,395.6379944120523,19.460384368896484,19.850714007122242,,,,,1.725912949775869,1157.3677873131644,,35.622748361299884,0
,,,,1.0,12.635846966472755,33.20832616584994,14.0,561.0,36.0,4.0,neural_tube_membrane,True,,68,released NPZ prediction plus independently decoded ground-truth raster,all_groundtruth_centers,55.9619814447569,0.551230328704302,309.5024452544015,18.39453887939453,18.799551548426685,,,,,1.6583123951777,1113.4978909478082,,31.030385845867286,0
